name,iata_code,iso_country,iso_region,municipality,type,scheduled_service,latitude_deg,longitude_deg
Utirik Airport,UTK,MH,MH-UTI,Utirik Island,small_airport,yes,11.222219,169.851429
Ocean Reef Club Airport,OCA,US,US-FL,Key Largo,medium_airport,no,25.325399,-80.274803
Crested Butte Airpark,CSE,US,US-CO,Crested Butte,small_airport,no,38.851918,-106.928341
Columbus Airport,CUS,US,US-NM,Columbus,small_airport,no,31.823898,-107.629924
LBJ Ranch Airport,JCY,US,US-TX,Stonewall,small_airport,no,30.251801,-98.622498
Loring Seaplane Base,WLR,US,US-AK,Loring,seaplane_base,no,55.601299,-131.636993
Nunapitchuk Airport,NUP,US,US-AK,Nunapitchuk,small_airport,yes,60.905591,-162.440454
Port Alice Seaplane Base,PTC,US,US-AK,Port Alice,seaplane_base,no,55.803,-133.597
Icy Bay Airport,ICY,US,US-AK,Icy Bay,small_airport,no,59.966269,-141.660118
Port Protection Seaplane Base,PPV,US,US-AK,Port Protection,seaplane_base,yes,56.3288,-133.610001
Kalakaket Creek AS Airport,KKK,US,US-AK,Kalakaket Creek,small_airport,no,64.4166256967,-156.820392609
Dunsmuir Muni-Mott Airport,MHS,US,US-CA,Dunsmuir,small_airport,no,41.263199,-122.272003
Chase Field Industrial Airport,NIR,US,US-TX,Beeville,small_airport,no,28.362444,-97.661917
Grand Canyon Bar Ten Airstrip,GCT,US,US-AZ,Littlefield,small_airport,no,36.257984,-113.231063
Ellamar Seaplane Base,ELW,US,US-AK,Ellamar,seaplane_base,no,60.893818,-146.704038
Lime Village Airport,LVD,US,US-AK,Lime Village,small_airport,no,61.3591003418,-155.440002441
Hog River Airport,HGZ,US,US-AK,Hogatza,small_airport,no,66.176133,-155.684816
Ed-Air Airport,OTN,US,US-IN,Oaktown,small_airport,no,38.851782,-87.49987
Telida Airport,TLF,US,US-AK,Telida,small_airport,no,63.393902,-153.268997
Eagle Air Park,BZT,US,US-TX,Brazoria,small_airport,no,28.982200622559,-95.579696655273
Entrance Island Seaplane Base,HBH,US,US-AK,Entrance Island,seaplane_base,no,57.412201,-133.43848
False Island Seaplane Base,FAK,US,US-AK,False Island,seaplane_base,no,57.5321998596,-135.212997437
Blakely Island Airport,BYW,US,US-WA,Blakely Island,small_airport,yes,48.579162,-122.823844
Drift River Airport,DRF,US,US-AK,Kenai,small_airport,no,60.5889015198,-152.162002563
Rinkenberger Restricted Landing Area,BDF,US,US-IL,Bradford,small_airport,no,41.2308998108,-89.61569976810001
Tetlin Airport,TEH,US,US-AK,Tetlin,small_airport,no,63.124618,-142.518005
Roy Otten Memorial Airfield,VRS,US,US-MO,Versailles,small_airport,no,38.427799224854,-92.875198364258
Golden Horn Lodge Seaplane Base,GDH,US,US-AK,Golden Horn Lodge,seaplane_base,no,59.7470016479,-158.875
Atmautluak Airport,ATT,US,US-AK,Atmautluak,small_airport,yes,60.866699,-162.272996
Livengood Camp Airport,LIV,US,US-AK,Livengood,small_airport,no,65.467,-148.6534
Pedro Bay Airport,PDB,US,US-AK,Pedro Bay,small_airport,yes,59.796925,-154.129994
Ouzinkie Airport,KOZ,US,US-AK,Ouzinkie,small_airport,yes,57.942094,-152.464314
Tununak Airport,TNK,US,US-AK,Tununak,small_airport,yes,60.569638,-165.246649
Hyder Seaplane Base,WHD,US,US-AK,Hyder,seaplane_base,yes,55.903324,-130.009975
Minto Al Wright Airport,MNT,US,US-AK,Minto,small_airport,yes,65.147991,-149.368658
Tokeen Seaplane Base,TKI,US,US-AK,Tokeen,seaplane_base,no,55.937099,-133.326996
Aleknagik / New Airport,WKK,US,US-AK,Aleknagik,medium_airport,yes,59.2826004028,-158.617996216
Ketchikan Harbor Seaplane Base,WFB,US,US-AK,Ketchikan,seaplane_base,yes,55.349899,-131.677002
Rollang Field,RFK,US,US-MS,Rolling Fork,small_airport,no,32.953543,-90.845144
Naknek Airport,NNK,US,US-AK,Naknek,small_airport,no,58.735633,-157.02216
Lake Brooks Seaplane Base,BKF,US,US-AK,Katmai National Park,seaplane_base,yes,58.554798,-155.776993
Southern Seaplane Airport,BCS,US,US-LA,Belle Chasse,small_airport,no,29.866078,-90.021608
Minute Man Air Field,MMN,US,US-MA,Stow,small_airport,no,42.460298,-71.519031
Catalina Air-Sea Terminal Heliport,SPQ,US,US-CA,San Pedro,heliport,no,33.7491989136,-118.275001526
East 34th Street Heliport,TSS,US,US-NY,New York,heliport,yes,40.742372,-73.972074
New York Skyports Inc Seaplane Base,NYS,US,US-NY,New York,seaplane_base,yes,40.735061,-73.972814
Earl Henry Airport,BWL,US,US-OK,Blackwell,small_airport,no,36.7958984375,-97.3170013428
Yes Bay Lodge Seaplane Base,WYB,US,US-AK,Yes Bay,seaplane_base,no,55.916302,-131.800995
Center Island Airport,CWS,US,US-WA,Center Island,small_airport,yes,48.490046,-122.831612
Tatitlek Airport,TEK,US,US-AK,Tatitlek,small_airport,yes,60.871449,-146.690297
Pine Island Airport,DUF,US,US-NC,Corolla,small_airport,no,36.252744,-75.785256
Stuart Island Airpark,SSW,US,US-WA,Friday Harbor,small_airport,yes,48.673379,-123.175439
Fort Bragg Airport,FOB,US,US-CA,Fort Bragg,small_airport,no,39.472445,-123.795319
Port of Poulsbo Marina Moorage Seaplane Base,PUL,US,US-WA,Poulsbo,seaplane_base,no,47.734001159668,-122.64700317383
Century City Heliport,CCD,US,US-CA,Los Angeles,heliport,no,34.060798645,-118.417999268
Meyers Chuck Seaplane Base,WMK,US,US-AK,Meyers Chuck,seaplane_base,no,55.739601,-132.255005
Maxson Airfield,AXB,US,US-NY,Alexandria Bay,small_airport,no,44.312002,-75.90034
Reese Airpark,REE,US,US-TX,Lubbock,small_airport,no,33.590301513672,-102.03700256348
Waldron Airstrip,WDN,US,US-WA,Eastsound,small_airport,yes,48.71141,-123.018208
Whale Pass Seaplane Float Harbor Facility,WWP,US,US-AK,Whale Pass,seaplane_base,yes,56.116299,-133.121994
Chuathbaluk Airport,CHU,US,US-AK,Chuathbaluk,small_airport,yes,61.579102,-159.216003
Ugashik Airport,UGS,US,US-AK,Ugashik,small_airport,no,57.523476,-157.396344
Recreation and Conference Center Heliport,JID,US,US-CA,City of Industry,heliport,no,34.020472,-117.927396
Philadelphia Seaplane Base,PSQ,US,US-PA,Essington,seaplane_base,no,39.859001159668,-75.299598693848
Levelock Airport,KLL,US,US-AK,Levelock,small_airport,no,59.12606,-156.860906
Saginaw Seaplane Base,SGW,US,US-AK,Saginaw Bay,seaplane_base,no,56.886299,-134.158005
Tuntutuliak Airport,WTL,US,US-AK,Tuntutuliak,small_airport,yes,60.351243,-162.654476
Twin Hills Airport,TWA,US,US-AK,Twin Hills,small_airport,yes,59.074713,-160.274992
Chignik Lake Airport,KCQ,US,US-AK,Chignik Lake,small_airport,yes,56.255001,-158.774994
Adado Airport,AAD,SO,SO-GA,Adado,small_airport,no,6.095802,46.6375
Atkamba Airport,ABP,PG,PG-WPD,Atkamba Mission,small_airport,no,-6.06462,141.095173
Arica Airport,ACM,CO,CO-AMA,Arica,small_airport,no,-2.143713,-71.75935
El Daein Airport,ADV,SD,SD-DE,El Daein,small_airport,no,11.4023,26.1186
Adareil Airport,AEE,SS,SS-NU,Adar,small_airport,no,10.053611,32.959444
Ar Horqin Airport,AEQ,CN,CN-15,Chifeng,small_airport,no,43.908407,120.15099
Kondavattavana Tank Seaplane Base,AFK,LK,LK-5,Ampara,seaplane_base,no,7.284,81.644
Burton-Nibbs International Airport,BBQ,AG,AG-10,Codrington,medium_airport,yes,17.621194,-61.798347
Afutara Aerodrome,AFT,SB,SB-ML,Bila,small_airport,no,-9.191389,160.948611
Ulawa Airport,RNA,SB,SB-MK,Arona,small_airport,no,-9.86054358262,161.979546547
Uru Harbour Airport,ATD,SB,SB-ML,Atoifi,small_airport,no,-8.87333,161.011002
Barakoma Airport,VEV,SB,SB-WE,Barakoma,small_airport,no,-7.912779808044434,156.70599365234375
Batuna Aerodrome,BPF,SB,SB-WE,Batuna Mission Station,small_airport,no,-8.56202777778,158.119305556
Geva Airport,GEF,SB,SB-WE,Liangia,small_airport,no,-7.575829982757568,156.5970001220703
Angoram Airport,AGG,PG,PG-ESW,Angoram,small_airport,no,-4.057077,144.073841
Gwaunaru'u Airport,AKS,SB,SB-ML,Auki,small_airport,yes,-8.70257,160.682007
Bellona/Anua Airport,BNY,SB,SB-RB,Anua,small_airport,yes,-11.3022222222,159.798333333
Choiseul Bay Airport,CHY,SB,SB-CH,Choiseul Bay,small_airport,yes,-6.711944,156.396111
Ballalae Airport,BAS,SB,SB-WE,Ballalae,small_airport,yes,-6.990745,155.886656
Fera/Maringe Airport,FRE,SB,SB-IS,Fera Island,small_airport,yes,-8.1075,159.576996
Honiara International Airport,HIR,SB,SB-GU,Honiara,large_airport,yes,-9.428,160.054993
Babanakira Airport,MBU,SB,SB-GU,Mbambanakira,small_airport,no,-9.7475,159.839005
Avu Avu Airport,AVU,SB,SB-GU,Avu Avu,small_airport,no,-9.868333,160.410556
Ngorangora Airport,IRA,SB,SB-MK,Kirakira,small_airport,yes,-10.4497003555,161.897994995
Santa Cruz/Graciosa Bay/Luova Airport,SCZ,SB,SB-TE,Santa Cruz/Graciosa Bay/Luova,small_airport,yes,-10.7203,165.794998
Munda Airport,MUA,SB,SB-WE,Munda,medium_airport,yes,-8.32797,157.263
Nusatupe Airport,GZO,SB,SB-WE,Gizo,small_airport,yes,-8.09778022766,156.863998413
Mono Airport,MNY,SB,SB-WE,Stirling Island,small_airport,yes,-7.41694,155.565002
Parasi Airport,PRS,SB,SB-ML,Parasi,small_airport,no,-9.64167022705078,161.4250030517578
Rennell/Tingoa Airport,RNL,SB,SB-RB,Rennell Island,small_airport,yes,-11.55,160.062778
Sege Airport,EGM,SB,SB-WE,Sege,small_airport,no,-8.57889,157.876007
Santa Ana Airport,NNB,SB,SB-MK,Santa Ana Island,small_airport,yes,-10.847994,162.454108
Marau Airport,RUS,SB,SB-GU,Marau,small_airport,yes,-9.86167,160.824997
Suavanao Airport,VAO,SB,SB-IS,Suavanao,small_airport,yes,-7.58556,158.731003
Yandina Airport,XYA,SB,SB-CE,Yandina,small_airport,yes,-9.092816,159.21841
Kagua Airport,AGK,PG,PG-SHM,Kagua,small_airport,no,-6.396388888890001,143.853611111
Kaghau Airport,KGE,SB,SB-CH,Kagau Island,small_airport,yes,-7.3305,157.585
Kukudu Airport,KUE,SB,SB-WE,Kolombangara Island,small_airport,no,-8.0262,156.94783
Kwailabesi Airport,KWS,SB,SB-ML,Kwailabesi,small_airport,no,-8.360508,160.775127
Lomlom Airport,LLM,SB,SB-TE,Lomlom,small_airport,no,-10.296828,166.327322
Nana Airport,NAZ,SB,SB-MK,Star Harbor,small_airport,no,-10.6758,162.2049
Manaoba Airport,MHM,SB,SB-ML,Manaoba,small_airport,yes,-8.325008,160.80051
Gatokae Aerodrome,GTA,SB,SB-WE,Gatokae,small_airport,yes,-8.738358,158.202836
Ringi Cove Airport,RIN,SB,SB-WE,Ringi Cove,small_airport,no,-8.12639045715332,157.14300537109375
Ramata Airport,RBV,SB,SB-WE,Ramata,small_airport,yes,-8.168060302734375,157.64300537109375
Tulaghi Heliport,TLG,SB,SB-CE,Tulaghi Island,heliport,no,-9.108,160.149166667
Ambatolhy Airport,AHY,MG,MG-U,Ambatolahy,small_airport,no,-20.0158333333,45.535
Ailinglaplap Airok Airport,AIC,MH,MH-ALL,Bigatyelang Island,small_airport,no,7.279422,168.8257
Chena Hot Springs Airport,CEX,US,US-AK,Chena Hot Springs,small_airport,no,65.0518035889,-146.04699707
Solomon State Field,SOL,US,US-AK,Solomon,small_airport,no,64.5605,-164.4457
Herendeen Bay Airport,HED,US,US-AK,Herendeen Bay,small_airport,no,55.802346,-160.901346
Taylor Airport,TWE,US,US-AK,Taylor,small_airport,no,65.6792984009,-164.798995972
Tikchik Lodge Seaplane Base,KTH,US,US-AK,Tikchik,seaplane_base,no,59.9631996155,-158.477005005
Naukati Bay Seaplane Base,NKI,US,US-AK,Tuxekan Island,seaplane_base,yes,55.849602,-133.227994
Candle 2 Airport,CDL,US,US-AK,Candle,small_airport,no,65.907699585,-161.925994873
Amook Bay Seaplane Base,AOS,US,US-AK,Amook Bay,seaplane_base,yes,57.4715003967,-153.815002441
Boswell Bay Airport,BSW,US,US-AK,Boswell Bay,small_airport,no,60.4230995178,-146.145996094
